form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,overabundance_tag,analysis_tag,source,page,language_id
komkhoirentak001,no_stem,1.sg,kei,kei,kei,k ei,k ei,unspecified,,,Kanshouwa2025Khoirentak,nopage,komkhoirentak
komkhoirentak002,no_stem,1.pl.excl,keini,keini,kei+ni,k ei n i,k ei + n i,unspecified,,,Kanshouwa2025Khoirentak,nopage,komkhoirentak
komkhoirentak003,no_stem,1.pl.incl,eini,eini,ei+ni,ei n i,ei + n i,unspecified,,,Kanshouwa2025Khoirentak,nopage,komkhoirentak
komkhoirentak004,no_stem,2.sg,nang,nang,nang,n a ŋ,n a ŋ,unspecified,,,Kanshouwa2025Khoirentak,nopage,komkhoirentak
komkhoirentak005,no_stem,2.pl,nangni,nangni,nang+ni,n a ŋ n i,n a ŋ + n i,unspecified,,,Kanshouwa2025Khoirentak,nopage,komkhoirentak
komkhoirentak006,no_stem,3.sg,ama,ama,a+ma,a m a,a + m a,unspecified,,,Kanshouwa2025Khoirentak,nopage,komkhoirentak
komkhoirentak007,no_stem,3.pl,anmani,anmani,a+n+ma+ni,a n m a n i,a + n + m a + n i,unspecified,,,Kanshouwa2025Khoirentak,nopage,komkhoirentak
komkhoirentak008,se,1.sg.fut.aff,ka-se-sik-eng,ka-Σ-sik-eng,ka+Σ+sik+eng,k a Σ s i k e ŋ,k a + Σ + s i k + e ŋ,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak009,se,1.pl.excl.fut.aff,ka-se-sik-ung,ka-Σ-sik-ung,ka+Σ+sik+ung,k a Σ s i k u ŋ,k a + Σ + s i k + u ŋ,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak010,se,1.pl.incl.fut.aff,ka-se-sik-me,ka-Σ-sik-me,ka+Σ+sik+me,k a Σ s i k m e,k a + Σ + s i k + m e,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak011,hmu,1.sg.2.sg.fut.aff,ka-hmu-sik-che,ka-Σ-sik-che,ka+Σ+sik+che,k a Σ s i k tʃ e,k a + Σ + s i k + tʃ e,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
komkhoirentak012,hmu,1.sg.2.pl.fut.aff,ka-hmu-sik-chui,ka-Σ-sik-chui,ka+Σ+sik+chui,k a Σ s i k tʃ ui,k a + Σ + s i k + tʃ ui,unspecified,,,Kanshouwa2026KhoirentakKom,nopage,komkhoirentak
