morph_id,morph,position,in_cells,in_forms,language_id
komkhoirentakM01,a,free,3.sg; 3.pl,komkhoirentak006; komkhoirentak007,komkhoirentak
komkhoirentakM02,a,pre,3.sg.1.sg.fut.aff; 3.sg.1.sg.fut.aff; 3.sg.1.pl.excl.fut.aff; 3.sg.1.pl.excl.fut.aff; 3.sg.1.pl.incl.fut.aff; 3.sg.1.pl.incl.fut.aff; 3.pl.1.sg.fut.aff; 3.pl.1.sg.fut.aff; 3.pl.1.pl.excl.fut.aff; 3.pl.1.pl.excl.fut.aff; 3.pl.1.pl.incl.fut.aff; 3.pl.1.pl.incl.fut.aff; 3.sg.2.sg.fut.aff; 3.sg.2.pl.fut.aff; 3.pl.2.sg.fut.aff; 3.pl.2.pl.fut.aff; 3.sg.3.sg.fut.aff; 3.sg.3.pl.fut.aff; 3.pl.3.sg.fut.aff; 3.pl.3.pl.fut.aff; 2.sg.1.sg.fut.neg; 2.sg.1.sg.fut.neg; 2.sg.1.pl.excl.fut.neg; 2.sg.1.pl.excl.fut.neg; 2.pl.1.sg.fut.neg; 2.pl.1.sg.fut.neg; 2.pl.1.sg.fut.neg; 2.pl.1.sg.fut.neg; 2.pl.1.pl.excl.fut.neg; 2.pl.1.pl.excl.fut.neg; 2.pl.1.pl.excl.fut.neg; 2.pl.1.pl.excl.fut.neg; 3.sg.1.sg.fut.neg; 3.sg.1.sg.fut.neg; 3.sg.1.pl.excl.fut.neg; 3.sg.1.pl.excl.fut.neg; 3.sg.1.pl.incl.fut.neg; 3.sg.1.pl.incl.fut.neg; 3.pl.1.sg.fut.neg; 3.pl.1.sg.fut.neg; 3.pl.1.pl.excl.fut.neg; 3.pl.1.pl.excl.fut.neg; 3.pl.1.pl.incl.fut.neg; 3.pl.1.pl.incl.fut.neg; 3.sg.1.sg.nfut.aff; 3.sg.1.pl.excl.nfut.aff; 3.sg.1.pl.excl.nfut.aff; 3.sg.1.pl.incl.nfut.aff; 3.pl.1.sg.nfut.aff; 3.pl.1.sg.nfut.aff; 3.pl.1.pl.excl.nfut.aff; 3.pl.1.pl.excl.nfut.aff; 3.pl.1.pl.incl.nfut.aff; 3.pl.1.pl.incl.nfut.aff; 3.sg.2.sg.nfut.aff; 3.sg.2.pl.nfut.aff; 3.pl.2.sg.nfut.aff; 3.pl.2.pl.nfut.aff; 3.sg.3.sg.nfut.aff; 3.sg.3.pl.nfut.aff; 3.pl.3.sg.nfut.aff; 3.pl.3.pl.nfut.aff; 3.pl.3.pl.nfut.aff; 2.sg.1.sg.nfut.neg; 2.sg.1.sg.nfut.neg; 2.sg.1.pl.excl.nfut.neg; 2.sg.1.pl.excl.nfut.neg; 2.pl.1.sg.nfut.neg; 2.pl.1.sg.nfut.neg; 2.pl.1.pl.excl.nfut.neg; 2.pl.1.pl.excl.nfut.neg; 3.sg.1.sg.nfut.neg; 3.sg.1.sg.nfut.neg; 3.sg.1.pl.excl.nfut.neg; 3.sg.1.pl.excl.nfut.neg; 3.sg.1.pl.incl.nfut.neg; 3.sg.1.pl.incl.nfut.neg; 3.pl.1.sg.nfut.neg; 3.pl.1.sg.nfut.neg; 3.pl.1.pl.excl.nfut.neg; 3.pl.1.pl.excl.nfut.neg; 3.pl.1.pl.incl.nfut.neg; 3.pl.1.pl.incl.nfut.neg,komkhoirentak038; komkhoirentak039; komkhoirentak040; komkhoirentak041; komkhoirentak043; komkhoirentak044; komkhoirentak045; komkhoirentak046; komkhoirentak047; komkhoirentak048; komkhoirentak049; komkhoirentak050; komkhoirentak051; komkhoirentak052; komkhoirentak053; komkhoirentak054; komkhoirentak055; komkhoirentak056; komkhoirentak057; komkhoirentak058; komkhoirentak080; komkhoirentak082; komkhoirentak084; komkhoirentak085; komkhoirentak086; komkhoirentak088; komkhoirentak089; komkhoirentak091; komkhoirentak093; komkhoirentak094; komkhoirentak096; komkhoirentak097; komkhoirentak106; komkhoirentak108; komkhoirentak109; komkhoirentak111; komkhoirentak113; komkhoirentak114; komkhoirentak116; komkhoirentak117; komkhoirentak119; komkhoirentak120; komkhoirentak122; komkhoirentak123; komkhoirentak163; komkhoirentak164; komkhoirentak165; komkhoirentak167; komkhoirentak168; komkhoirentak169; komkhoirentak170; komkhoirentak171; komkhoirentak172; komkhoirentak173; komkhoirentak174; komkhoirentak175; komkhoirentak176; komkhoirentak177; komkhoirentak178; komkhoirentak179; komkhoirentak180; komkhoirentak181; komkhoirentak182; komkhoirentak199; komkhoirentak201; komkhoirentak203; komkhoirentak204; komkhoirentak205; komkhoirentak207; komkhoirentak209; komkhoirentak210; komkhoirentak217; komkhoirentak219; komkhoirentak220; komkhoirentak222; komkhoirentak224; komkhoirentak225; komkhoirentak226; komkhoirentak228; komkhoirentak230; komkhoirentak231; komkhoirentak232; komkhoirentak234,komkhoirentak
komkhoirentakM03,e ŋ,post,1.sg.fut.aff; 2.sg.1.sg.fut.aff; 2.pl.1.sg.fut.aff; 3.sg.1.sg.fut.aff; 3.pl.1.sg.fut.aff; 1.sg.nfut.aff; 2.sg.1.sg.nfut.aff; 2.pl.1.sg.nfut.aff; 3.sg.1.sg.nfut.aff; 3.pl.1.sg.nfut.aff; 1.sg.nfut.neg; 1.sg.nfut.neg; 1.sg.2.sg.nfut.neg; 1.sg.2.pl.nfut.neg; 1.sg.3.sg.nfut.neg; 1.sg.3.pl.nfut.neg,komkhoirentak008; komkhoirentak024; komkhoirentak027; komkhoirentak038; komkhoirentak045; komkhoirentak134; komkhoirentak149; komkhoirentak154; komkhoirentak163; komkhoirentak168; komkhoirentak183; komkhoirentak184; komkhoirentak187; komkhoirentak188; komkhoirentak191; komkhoirentak192,komkhoirentak
komkhoirentakM04,ei,free,1.pl.incl,komkhoirentak003,komkhoirentak
komkhoirentakM05,ei,pre,3.sg.1.pl.incl.fut.aff; 2.sg.1.sg.fut.neg; 2.sg.1.pl.excl.fut.neg; 2.pl.1.sg.fut.neg; 2.pl.1.sg.fut.neg; 2.pl.1.pl.excl.fut.neg; 2.pl.1.pl.excl.fut.neg; 3.sg.1.sg.fut.neg; 3.sg.1.pl.excl.fut.neg; 3.sg.1.pl.incl.fut.neg; 3.pl.1.sg.fut.neg; 3.pl.1.pl.excl.fut.neg; 3.pl.1.pl.incl.fut.neg; 3.sg.1.pl.incl.nfut.aff; 2.sg.1.sg.nfut.neg; 2.sg.1.pl.excl.nfut.neg; 2.pl.1.sg.nfut.neg; 2.pl.1.pl.excl.nfut.neg; 3.sg.1.sg.nfut.neg; 3.sg.1.pl.excl.nfut.neg; 3.sg.1.pl.incl.nfut.neg; 3.pl.1.sg.nfut.neg; 3.pl.1.pl.excl.nfut.neg; 3.pl.1.pl.incl.nfut.neg,komkhoirentak042; komkhoirentak081; komkhoirentak083; komkhoirentak087; komkhoirentak090; komkhoirentak092; komkhoirentak095; komkhoirentak107; komkhoirentak110; komkhoirentak112; komkhoirentak115; komkhoirentak118; komkhoirentak121; komkhoirentak166; komkhoirentak200; komkhoirentak202; komkhoirentak206; komkhoirentak208; komkhoirentak218; komkhoirentak221; komkhoirentak223; komkhoirentak227; komkhoirentak229; komkhoirentak233,komkhoirentak
komkhoirentakM06,h ei,post,1.sg.3.pl.fut.aff; 1.pl.excl.3.pl.fut.aff; 1.pl.incl.3.pl.fut.aff; 2.sg.3.pl.fut.aff; 2.pl.3.pl.fut.aff; 2.pl.3.pl.fut.aff; 3.pl.fut.aff; 3.sg.3.pl.fut.aff; 3.pl.3.pl.fut.aff; 1.sg.3.pl.fut.neg; 1.pl.excl.3.pl.fut.neg; 1.pl.excl.3.pl.fut.neg; 1.pl.incl.3.pl.fut.neg; 2.sg.3.pl.fut.neg; 2.pl.3.pl.fut.neg; 2.pl.3.pl.fut.neg; 3.pl.fut.neg; 3.pl.1.sg.fut.neg; 3.pl.1.sg.fut.neg; 3.pl.1.sg.fut.neg; 3.pl.1.pl.excl.fut.neg; 3.pl.1.pl.excl.fut.neg; 3.pl.1.pl.excl.fut.neg; 3.pl.1.pl.incl.fut.neg; 3.pl.1.pl.incl.fut.neg; 3.pl.1.pl.incl.fut.neg; 3.pl.2.sg.fut.neg; 3.pl.2.pl.fut.neg; 3.sg.3.pl.fut.neg; 3.pl.3.sg.fut.neg; 3.pl.3.pl.fut.neg; 1.sg.3.pl.nfut.aff; 1.pl.excl.3.pl.nfut.aff; 1.pl.incl.3.pl.nfut.aff; 2.sg.3.pl.nfut.aff; 2.pl.3.pl.nfut.aff; 3.pl.nfut.aff; 3.sg.3.pl.nfut.aff; 3.pl.3.pl.nfut.aff; 1.sg.3.pl.nfut.neg; 1.pl.excl.3.pl.nfut.neg; 1.pl.incl.3.pl.nfut.neg; 2.sg.3.pl.nfut.neg; 2.pl.3.pl.nfut.neg; 3.pl.nfut.neg; 3.pl.1.sg.nfut.neg; 3.pl.1.sg.nfut.neg; 3.pl.1.sg.nfut.neg; 3.pl.1.pl.excl.nfut.neg; 3.pl.1.pl.excl.nfut.neg; 3.pl.1.pl.excl.nfut.neg; 3.pl.1.pl.incl.nfut.neg; 3.pl.1.pl.incl.nfut.neg; 3.pl.1.pl.incl.nfut.neg; 3.pl.2.sg.nfut.neg; 3.pl.2.pl.nfut.neg; 3.sg.3.pl.nfut.neg; 3.pl.3.sg.nfut.neg; 3.pl.3.pl.nfut.neg,komkhoirentak016; komkhoirentak019; komkhoirentak020; komkhoirentak032; komkhoirentak034; komkhoirentak035; komkhoirentak037; komkhoirentak056; komkhoirentak058; komkhoirentak064; komkhoirentak073; komkhoirentak074; komkhoirentak075; komkhoirentak099; komkhoirentak102; komkhoirentak103; komkhoirentak105; komkhoirentak115; komkhoirentak116; komkhoirentak117; komkhoirentak118; komkhoirentak119; komkhoirentak120; komkhoirentak121; komkhoirentak122; komkhoirentak123; komkhoirentak127; komkhoirentak129; komkhoirentak131; komkhoirentak132; komkhoirentak133; komkhoirentak142; komkhoirentak145; komkhoirentak146; komkhoirentak158; komkhoirentak160; komkhoirentak162; komkhoirentak179; komkhoirentak182; komkhoirentak192; komkhoirentak195; komkhoirentak196; komkhoirentak212; komkhoirentak214; komkhoirentak216; komkhoirentak226; komkhoirentak227; komkhoirentak228; komkhoirentak229; komkhoirentak230; komkhoirentak231; komkhoirentak232; komkhoirentak233; komkhoirentak234; komkhoirentak237; komkhoirentak239; komkhoirentak242; komkhoirentak243; komkhoirentak244,komkhoirentak
komkhoirentakM07,i ŋ,post,1.sg.fut.neg; 1.sg.2.sg.fut.neg; 1.sg.2.pl.fut.neg; 1.sg.3.pl.fut.neg; 1.pl.excl.2.sg.fut.neg; 1.pl.excl.2.pl.fut.neg; 1.sg.3.sg.fut.neg; 1.pl.excl.3.sg.fut.neg; 1.pl.excl.3.pl.fut.neg; 3.sg.fut.neg; 3.pl.fut.neg; 3.sg.1.sg.fut.neg; 3.sg.1.sg.fut.neg; 3.sg.1.sg.fut.neg; 3.sg.1.pl.excl.fut.neg; 3.sg.1.pl.excl.fut.neg; 3.sg.1.pl.excl.fut.neg; 3.sg.1.pl.incl.fut.neg; 3.sg.1.pl.incl.fut.neg; 3.sg.1.pl.incl.fut.neg; 3.pl.1.sg.fut.neg; 3.pl.1.sg.fut.neg; 3.pl.1.sg.fut.neg; 3.pl.1.pl.excl.fut.neg; 3.pl.1.pl.excl.fut.neg; 3.pl.1.pl.excl.fut.neg; 3.pl.1.pl.incl.fut.neg; 3.pl.1.pl.incl.fut.neg; 3.pl.1.pl.incl.fut.neg; 3.sg.3.sg.fut.neg; 3.sg.3.pl.fut.neg; 3.pl.3.sg.fut.neg; 3.pl.3.pl.fut.neg,komkhoirentak059; komkhoirentak062; komkhoirentak063; komkhoirentak064; komkhoirentak065; komkhoirentak068; komkhoirentak069; komkhoirentak071; komkhoirentak073; komkhoirentak104; komkhoirentak105; komkhoirentak106; komkhoirentak107; komkhoirentak108; komkhoirentak109; komkhoirentak110; komkhoirentak111; komkhoirentak112; komkhoirentak113; komkhoirentak114; komkhoirentak115; komkhoirentak116; komkhoirentak117; komkhoirentak118; komkhoirentak119; komkhoirentak120; komkhoirentak121; komkhoirentak122; komkhoirentak123; komkhoirentak130; komkhoirentak131; komkhoirentak132; komkhoirentak133,komkhoirentak
komkhoirentakM08,k a,pre,1.sg.fut.aff; 1.pl.excl.fut.aff; 1.pl.incl.fut.aff; 1.sg.2.sg.fut.aff; 1.sg.2.pl.fut.aff; 1.pl.excl.2.sg.fut.aff; 1.pl.excl.2.pl.fut.aff; 1.sg.3.sg.fut.aff; 1.sg.3.pl.fut.aff; 1.pl.excl.3.sg.fut.aff; 1.pl.excl.3.pl.fut.aff; 2.sg.fut.aff; 2.sg.fut.aff; 2.pl.fut.aff; 3.sg.fut.aff; 3.pl.fut.aff; 1.sg.nfut.aff; 1.pl.excl.nfut.aff; 1.pl.incl.nfut.aff; 1.sg.2.sg.nfut.aff; 1.sg.2.pl.nfut.aff; 1.pl.excl.2.sg.nfut.aff; 1.pl.excl.2.pl.nfut.aff; 1.sg.3.sg.nfut.aff; 1.sg.3.pl.nfut.aff; 1.pl.excl.3.sg.nfut.aff; 1.pl.excl.3.pl.nfut.aff; 2.sg.nfut.aff; 2.pl.nfut.aff; 3.sg.nfut.aff; 3.pl.nfut.aff,komkhoirentak008; komkhoirentak009; komkhoirentak010; komkhoirentak011; komkhoirentak012; komkhoirentak013; komkhoirentak014; komkhoirentak015; komkhoirentak016; komkhoirentak017; komkhoirentak019; komkhoirentak021; komkhoirentak022; komkhoirentak023; komkhoirentak036; komkhoirentak037; komkhoirentak134; komkhoirentak135; komkhoirentak136; komkhoirentak137; komkhoirentak138; komkhoirentak139; komkhoirentak140; komkhoirentak141; komkhoirentak142; komkhoirentak143; komkhoirentak145; komkhoirentak147; komkhoirentak148; komkhoirentak161; komkhoirentak162,komkhoirentak
komkhoirentakM09,k ei,free,1.sg; 1.pl.excl,komkhoirentak001; komkhoirentak002,komkhoirentak
komkhoirentakM10,m,post,1.sg.nfut.neg,komkhoirentak183,komkhoirentak
